,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000422,"AMERICA COMPANY, LIMITED (THE)",1922-01-04,1923-11-02,"Private, ltd by shares"
2,0000439,"BEA PACIFIC LIMITED",1922-05-11,2009-07-21,"Public, ltd by shares"
3,0000471,"CHINA DISPENSARY (Y. C. WONG &amp; COMPANY) LIMITED (THE)",1922-12-18,1991-07-10,"Private, ltd by shares"
4,0000424,"CHINA ELECTRIC MANUFACTURING COMPANY, LIMITED",1922-02-13,1929-08-30,"Private, ltd by shares"
5,0000455,"CHINA INDUSTRIES DEVELOPMENT BANKING CORPORATION LIMITED (THE)",1922-09-28,1924-08-29,"Private, ltd by shares"
6,0000453,"CHINA LEATHER COMPANY, LIMITED (THE) (d1934-05-20)",1922-08-28,1934-05-20,"Private, ltd by shares"
7,0000450,"CHINA NATIONAL TOBACCO COMPANY, LIMITED (THE)",1922-07-22,1927-01-28,"Private, ltd by shares"
8,0000429,"CHINA RATTAN PRODUCTS COMPANY, LIMITED (THE)",1922-03-30,1934-04-27,"Private, ltd by shares"
9,0000445,"CHINESE ESTATES, LIMITED
華人置業有限公司",1922-06-26,,"Private, ltd by shares"
10,0000452,"CHINESE SEAMEN'S UNION BANK, LIMITED (THE)",1922-07-28,1923-08-03,"Private, ltd by shares"
11,0000434,"CHUNG WAH SHOES DEPOT COMPANY, LIMITED (THE)",1922-04-29,1927-08-10,"Private, ltd by shares"
12,0000469,"DOLLAR STEAMSHIP LINES, LIMITED",1922-12-09,1956-02-17,"Private, ltd by shares"
13,0000432,"E. F. COX AND COMPANY, LIMITED",1922-04-26,1926-11-12,"Private, ltd by shares"
14,0000456,"EMPRESS HOTEL COMPANY, LIMITED (THE)",1922-10-03,1956-02-17,"Private, ltd by shares"
15,0000457,"FEI LUN STEAMSHIP COMPANY, LIMITED (THE)",1922-10-05,1937-05-22,"Private, ltd by shares"
16,0000435,"FRANCO SINO AUNAMITE COMPANY, LIMITED (THE)",1922-05-02,1932-08-18,"Private, ltd by shares"
17,0000464,"GENERAL COMMERCIAL COMPANY, LIMITED (THE) (d1925-10-21)",1922-10-27,1925-10-21,"Private, ltd by shares"
18,0000473,"H. A. CASTRO &amp; COMPANY, LIMITED",1922-12-29,1926-10-13,"Private, ltd by shares"
19,0000468,"HANG YIP COMPANY, LIMITED (THE)",1922-11-27,1930-07-28,"Private, ltd by shares"
20,0000441,"HONG KONG TRAMWAYS LIMITED",1922-05-26,,"Private, ltd by shares"
21,0000463,"HONGKONG ENGINEERING &amp; CONSTRUCTION COMPANY, LIMITED",1922-10-27,1992-03-23,"Private, ltd by shares"
22,0000421,"HONGKONG LUMBER COMPANY, LIMITED (THE)",1922-01-09,1927-04-08,"Private, ltd by shares"
23,0000458,"HONGKONG MAN SANG KUNG YICK ASSOCIATION LIMITED (THE)",1922-10-06,1925-01-30,"Private, ltd by shares"
24,0000438,"HONGKONG TRADING COMPANY, LIMITED (THE)",1922-05-09,1938-06-10,"Private, ltd by shares"
25,0000433,"HONGKONG WAI MAN SAVINGS AND INVESTMENT ASSOCIATION, LIMITED (THE)",1922-04-28,1924-06-20,"Private, ltd by shares"
26,0000462,"HONSHING MERCANTILE COMPANY, LIMITED (THE)",1922-10-20,1928-04-05,"Private, ltd by shares"
27,0000448,"HUNG SHUN STEAMSHIP COMPANY, LIMITED (THE)",1922-07-13,1924-10-31,"Private, ltd by shares"
28,0000446,"KENWORTH ENGINEERING LIMITED (HK)
堅穩工程有限公司",1922-06-30,,"Private, ltd by shares"
29,0000461,"KOWLOON TONG AND NEW TERRITORIES DEVELOPMENT COMPANY, LIMITED (THE)",1922-10-19,1932-03-18,"Private, ltd by shares"
30,0000447,"KUNG CHUNG COMPANY, LIMITED (THE)",1922-07-11,1934-02-04,"Private, ltd by shares"
31,0000426,"KUNG LEE STEAMSHIP COMPANY, LIMITED",1922-02-23,1926-10-22,"Private, ltd by shares"
32,0000451,"KUNG YICK COMPANY, LIMITED (THE)",1922-07-25,1925-10-02,"Private, ltd by shares"
33,0000437,"KWONG CHOW HOTEL COMPANY, LIMITED (THE)",1922-05-08,,"Private, ltd by shares"
34,0000423,"LCJG Limited",1922-02-06,,"Private, ltd by shares"
35,0000425,"LI FAT STEAMSHIP COMPANY, LIMITED (THE)",1922-02-16,1924-02-17,"Private, ltd by shares"
36,0000465,"LUEN SHEUNG STEAMSHIP COMPANY, LIMITED (THE)",1922-11-07,1925-03-06,"Private, ltd by shares"
37,0000430,"NAM MEI LAND AND INVESTMENT COMPANY, LIMITED (THE)",1922-04-08,1924-05-30,"Private, ltd by shares"
38,0000442,"ORIENTAL COMMERCIAL BANK, LIMITED (THE)",1922-05-29,1956-02-17,"Private, ltd by shares"
39,0000454,"ORIENTAL NAVIGATION COMPANY, LIMITED",1922-09-19,1928-09-12,"Private, ltd by shares"
40,0000459,"PARALNZ COMPANY LIMITED",1922-10-12,1987-05-29,"Private, ltd by shares"
41,0000431,"SANDAKAN LIGHT AND POWER COMPANY (1922) LIMITED",1922-04-19,1962-02-01,"Private, ltd by shares"
42,0000440,"SHAM MOW TIMBER SAWMILLS COMPANY, LIMITED (THE)",1922-05-25,1956-02-17,"Private, ltd by shares"
43,0000443,"SHIU YUEN COTTON YARN COMPANY, LIMITED (THE)",1922-06-10,1934-10-09,"Private, ltd by shares"
44,0000460,"SINCERE LIFE ASSURANCE COMPANY LIMITED (THE)
先施人壽保險有限公司",1922-10-14,,"Public, ltd by shares"
45,0000427,"TAI KOON RESTAURANT, LIMITED (THE)",1922-03-01,1986-05-04,"Private, ltd by shares"
46,0000467,"THORESEN AND COMPANY, LIMITED",1922-11-24,2002-06-07,"Private, ltd by shares"
47,0000690,"TROLLOPE &amp; COLLS (FAR EAST) LIMITED",1922-12-30,1927-12-26,"Ltd by guarantee"
48,0000428,"UNION BANK OF CHINA LIMITED (THE)",1922-03-27,1924-11-17,"Private, ltd by shares"
49,0000483,"WING HONG COMPANY, LIMITED",1922-02-05,1957-08-09,"Private, ltd by shares"
50,0000466,"YEE WO RESTAURANT LIMITED (THE)",1922-11-21,1932-04-15,"Private, ltd by shares"
51,0000444,"YEUNG WO HOSPITAL LIMITED (THE)",1922-06-23,1934-07-30,"Private, ltd by shares"
52,0000449,"YIK TAI STEAMSHIP COMPANY, LIMITED (THE)",1922-07-20,1956-02-17,"Private, ltd by shares"
53,0000436,"YU HING COMPANY, LIMITED (THE)",1922-05-04,1950-12-04,"Private, ltd by shares"
54,0000472,"YUEN HANG YANG HONG COMPANY, LIMITED",1922-12-19,1925-03-13,"Private, ltd by shares"
55,0000470,"YUEN UN COMPANY, LIMITED (THE)",1922-12-18,1932-10-06,"Private, ltd by shares"
56,SO0000053,"ZETLAND HALL TRUSTEES (THE)",1922-09-29,,"Inc by ordinance"
