,Reg no.,Name,"Incorp-orated",Dissolved,Type
4762,521605,"CHUNG TRADING COMPANY LIMITED
兆智貿易有限公司",1995-07-27,2008-01-18,"Private, ltd by shares"
4763,504445,"CHUNG WAH (OVERSEAS) ENGINEERING COMPANY LIMITED
中華(海外)工程有限公司",1995-02-07,2000-07-21,"Private, ltd by shares"
4764,514900,"CHUNG WAH AUTO SERVICES LIMITED
中華汽車服務有限公司",1995-05-18,,"Private, ltd by shares"
4765,530924,"CHUNG WAH METALS (HK) COMPANY LIMITED
中華金屬(香港)有限公司",1995-11-16,,"Private, ltd by shares"
4766,517565,"CHUNG WAH NAN ARCHITECTS LIMITED
鍾華楠建築師有限公司",1995-06-13,,"Private, ltd by shares"
4767,503810,"CHUNG WING HOLDINGS LIMITED
仲榮控股有限公司",1995-01-24,2009-05-22,"Private, ltd by shares"
4768,519387,"CHUNG WONG SALES AGENT COMPANY LIMITED
中皇營銷代理業有限公司",1995-07-04,2005-06-30,"Private, ltd by shares"
4769,527989,"CHUNG WUI RADIO & ELECTRICAL COMPANY LIMITED
中滙無線電器有限公司",1995-10-17,2014-01-24,"Private, ltd by shares"
4770,526248,"CHUNG YAU LUEN TRADING COMPANY LIMITED
中友聯貿易有限公司",1995-09-26,2001-09-28,"Private, ltd by shares"
4771,532795,"CHUNG YIU INTERNATIONAL LIMITED
忠耀國際有限公司",1995-12-05,2008-08-29,"Private, ltd by shares"
4772,521642,"CHUNG YUEN (H.K.) COMPANY LIMITED
忠遠(香港)有限公司",1995-08-01,,"Private, ltd by shares"
4773,528434,"CHUNG YUEN TIES WEAVING & MFG. LIMITED
中原領帶織造廠有限公司",1995-10-19,,"Private, ltd by shares"
4774,519879,"CHUNG YUET AUTOPARTS COMPANY LIMITED
中粵汽車配件有限公司",1995-07-11,2000-07-21,"Private, ltd by shares"
4775,512481,"CHUNG'S DIGITAL SOUND LIMITED
鍾視數碼製作有限公司",1995-04-25,1998-07-03,"Private, ltd by shares"
4776,520466,"CHUNG-PAO RESIN CHEMICAL CO LIMITED
中寶樹脂化工有限公司",1995-07-18,2013-01-16,"Private, ltd by shares"
4777,534180,"CHUNKIE INTERNATIONAL REMOVAL LIMITED
卓傑國際搬運有限公司",1995-12-19,,"Private, ltd by shares"
4778,524595,"CHUO SENKO ADVERTISING (INTERNATIONAL) LIMITED
中央宣興(國際)有限公司",1995-09-05,2015-01-09,"Private, ltd by shares"
4779,506480,CHURMAN LIMITED,1995-02-28,2016-06-30,"Private, ltd by shares"
4780,532935,"CIC TELPO LIMITED
中國新天資訊網絡有限公司",1995-12-05,2007-04-13,"Private, ltd by shares"
4781,517258,"CICA DESIGN COMPANY LIMITED
斯雅設計有限公司",1995-06-08,2003-10-03,"Private, ltd by shares"
4782,533489,"CICCONE DEVELOPMENTS LIMITED
恆章發展有限公司",1995-12-12,2002-05-31,"Private, ltd by shares"
4783,508140,"CIDAS INTERNATIONAL EDUCATION DEVELOPMENT CENTRE COMPANY LIMITED
現代國際教育發展中心有限公司",1995-03-16,2004-05-07,"Private, ltd by shares"
